license_number,facility_name,legal_entity,address_line1,address_line2,additional_locations,city,state,zip,county,county_code,phone,setting_code,offers_detox,is_licensed,is_certified,license_expiration,license_expired,treatment_capacity,total_capacity,target_population_code,target_population,incidental_medical_services,adolescent_waiver,latitude,longitude
030002AP,MORE TO LIFE RECOVERY,"JEFFREY R. HODGSON, MD CORPORATION",20100 QUARTZ MOUNTAIN ROAD N,,,FIDDLETOWN,CA,95629,Amador County,03,(312) 305-9378,RES,true,true,false,2026-10-31,false,6,6,1.1,CO-ED,true,false,38.50143,-120.768889
030003AN,AMADOR COUNTY BEHAVIORAL HEALTH,COUNTY OF AMADOR,10877 CONDUCTOR BLVD,SUITE 300,,SUTTER CREEK,CA,95685,Amador County,03,(209) 223-6412,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,38.364417,-120.817466
040006NN,SKYWAY HOUSE,SKYWAY HOUSE,3105 ESPLANADE,,,CHICO,CA,95973,Butte County,04,(530) 898-8326,RES,false,true,true,2027-10-31,false,22,22,1.1,CO-ED,false,false,39.767371,-121.872039
040006ON,SKYWAY HOUSE OUTPATIENT,SKYWAY HOUSE,392 CONNORS COURT,SUITE D,,CHICO,CA,95926,Butte County,04,(530) 898-8326,NON,false,false,true,2027-02-28,false,0,0,1.1,CO-ED,false,false,39.758942,-121.855794
040034BN,ELIJAH HOUSE COUNSELING SOLUTIONS,ELIJAH HOUSE FOUNDATION,2060 PARK AVENUE,,,OROVILLE,CA,95966,Butte County,04,(530) 854-4119,NON,false,false,true,2028-02-29,false,0,0,1.2,MEN ONLY,false,false,39.50916,-121.55202
040035AP,NEW START RECOVERY SOLUTIONS,SIERRA HEALTH AND WELLNESS CENTERS LLC,40 COYOTE MOON TRAIL,,42 COYOTE MOON TRAIL,BANGOR,CA,95914,Butte County,04,(866) 303-6275,RES,true,true,true,2028-02-29,false,16,16,1.1,CO-ED,true,false,39.400382,-121.412882
040036AP,TRI COUNTY TREATMENT,KIANA CHAPMAN,2740 ORO DAM BLVD. E,,,OROVILLE,CA,95966,Butte County,04,(530) 533-5272,RES,false,true,true,2027-06-30,false,48,48,1.2,MEN ONLY,false,false,39.508361,-121.544242
040036BP,TRI COUNTY TREATMENT OUTPATIENT,KIANA CHAPMAN,1881 ROBINSON STREET,SUITE E,,OROVILLE,CA,95965,Butte County,04,(530) 693-4290,NON,false,false,true,2027-06-30,false,0,0,1.1,CO-ED,false,false,39.511821,-121.556027
040037AN,OROVILLE SUBSTANCE USE TREATMENT AND RECOVERY SERVICES,COUNTY OF BUTTE,2430 BIRD STREET,,,OROVILLE,CA,95965,Butte County,04,(530) 538-7277,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,39.515096,-121.549836
040037BN,OROVILLE STEPPING STONES,COUNTY OF BUTTE,2167 MONTGOMERY STREET,SUITE C,,OROVILLE,CA,95965,Butte County,04,(530) 538-4359,NON,false,false,true,2026-12-31,false,0,0,1.12,WOMEN/YOUTH,false,false,39.514651,-121.553685
040037CN,SUBSTANCE USE TREATMENT AND RECOVERY SERVICES,COUNTY OF BUTTE,560 COHASSET ROAD,SUITE 165,,CHICO,CA,95926,Butte County,04,(530) 879-3950,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,39.752023,-121.847673
040037DN,CHICO STEPPING STONES,COUNTY OF BUTTE,109 PARMAC ROAD,SUITE 2,,CHICO,CA,95926,Butte County,04,(530) 879-3363,NON,false,false,true,2026-12-31,false,0,0,1.12,WOMEN/YOUTH,false,false,39.753709,-121.850552
040038AP,ELEV8 RECOVERY SOLUTIONS,ELEV8 RECOVERY SOLUTIONS LLC,5075 LINCOLN BLVD,,,OROVILLE,CA,95966,Butte County,04,(707) 364-4103,RES,false,true,true,2027-01-31,false,30,30,1.2,MEN ONLY,false,false,39.481662,-121.550189
040039AN,SUD/MAT PROGRAM,AMPLA HEALTH,680 COHASSET ROAD,,,CHICO,CA,95926,Butte County,04,(530) 751-3755,NON,false,false,true,2028-03-31,false,0,0,1.1,CO-ED,false,false,39.752288,-121.846204
040039BN,SUD/MAT PROGRAM,AMPLA HEALTH,2800 LINCOLN BLVD.,,,OROVILLE,CA,95965,Butte County,04,(530) 534-7500,NON,false,false,true,2028-03-31,false,0,0,1.1,CO-ED,false,false,39.501598,-121.55141
050002AN,CHANGING ECHOES,"CHANGING ECHOES, INC.",7632 POOL STATION ROAD,,,ANGELS CAMP,CA,95222,Calaveras County,05,(209) 785-3667,RES,true,true,true,2027-09-30,false,20,20,1.1,CO-ED,false,false,38.09763,-120.659861
050005AP,THE LAKES TREATMENT CENTER,"THE LAKES TREATMENT CENTER, INC.",7260 O'BYRNES FERRY ROAD,,,COPPEROPOLIS,CA,95228,Calaveras County,05,(209) 325-8526,RES,true,true,true,2028-07-31,false,76,80,1.1,CO-ED,true,false,37.896222,-120.573779
050006AP,TURNING POINT,"TURNING POINT OF ARNOLD, LLC",1194 CEDAR STREET,,,ARNOLD,CA,95223,Calaveras County,05,(209) 822-3117,RES,false,true,true,2027-12-31,false,12,12,1.1,CO-ED,false,false,38.257296,-120.351146
050007AN,"HEALTH AND HUMAN SERVICES AGENCY, SUBSTANCE ABUSE PROGRAM",COUNTY OF CALAVERAS,590 TOYANZA DRIVE,,,SAN ANDREAS,CA,95249,Calaveras County,05,(209) 754-6555,NON,false,false,true,2026-10-31,false,0,0,1.1,CO-ED,false,false,38.188498,-120.674044
060002AN,COLUSA COUNTY BEHAVIORAL HEALTH,COLUSA COUNTY BEHAVIORAL HEALTH,162 E CARSON STREET,SUITE A,,COLUSA,CA,95932,Colusa County,06,(530) 458-0520,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,39.204859,-122.001478
070001AFN,A CHANCE FOR FREEDOM,BI-BETT,560 LENNON LANE,SUITE 200,,WALNUT CREEK,CA,94598,Contra Costa County,07,(925) 685-7418,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.929544,-122.031658
070001AN,DIABLO VALLEY RANCH,BI-BETT,11540 MARSH CREEK ROAD,,,CLAYTON,CA,94517,Contra Costa County,07,(925) 672-5700,RES,false,true,true,2028-03-31,false,58,59,1.2,MEN ONLY,true,false,37.900323,-121.865249
070001CN,PUEBLOS DEL SOL,BI-BETT,2090 COMMERCE AVENUE,,,CONCORD,CA,94520,Contra Costa County,07,(925) 676-2580,RES,true,true,true,2028-04-30,false,20,20,1.2,MEN ONLY,true,false,37.975326,-122.046317
070001KN,FREDERIC OZANAM CENTER,BI-BETT,2931 PROSPECT AVENUE,,2950 PROSPECT AVENUE & 1390 SANTA CLARA AVENUE,CONCORD,CA,94518,Contra Costa County,07,(925) 676-4840,RES,true,true,false,2026-10-31,false,16,16,1.3,WOMEN ONLY,false,false,37.971693,-122.026216
070001ZN,EAST COUNTY WOMEN'S RECOVERY CENTER/EAST COUNTY WOLLAM,BI-BETT,2 DAVI AVENUE,,"4, 12, 14, 22, AND 24 DAVI AVENUE",PITTSBURG,CA,94565,Contra Costa County,07,(925) 427-1384,RES,true,true,false,2027-02-28,false,27,33,1.4,WOMEN/CHILDREN,true,false,38.024259,-121.89119
070007AP,ALHAMBRA VALLEY RETREAT,"ALHAMBRA VALLEY RETREAT, LLC",77 QUAIL LANE,,,MARTINEZ,CA,94553,Contra Costa County,07,(925) 286-7342,RES,false,true,true,2028-05-31,false,6,6,1.2,MEN ONLY,false,false,37.960922,-122.133707
070008AN,THE RECTORY WOMEN'S RECOVERY CENTER,UJIMA FAMILY RECOVERY SERVICES,1901 CHURCH LANE,,,SAN PABLO,CA,94806,Contra Costa County,07,(510) 236-3134,RES,false,true,true,2027-02-28,false,12,21,1.4,WOMEN/CHILDREN,true,false,37.957296,-122.341612
070008BN,LA CASA UJIMA,UJIMA FAMILY RECOVERY SERVICES,904 MELLUS STREET,,,MARTINEZ,CA,94553,Contra Costa County,07,(925) 229-0230,RES,false,true,true,2027-02-28,false,12,18,1.4,WOMEN/CHILDREN,false,false,38.015897,-122.132866
070008CN,UJIMA WEST OUTPATIENT TREATMENT PROGRAM,UJIMA FAMILY RECOVERY SERVICES,12960 SAN PABLO AVENUE,,,RICHMOND,CA,94805,Contra Costa County,07,(510) 215-2280,NON,false,false,true,2027-02-28,false,0,0,1.3,WOMEN ONLY,false,false,37.948719,-122.331429
070008EN,UJIMA EAST INTENSIVE DAY TREATMENT PROGRAM,UJIMA FAMILY RECOVERY SERVICES,535 MARINA BLVD,,,PITTSBURG,CA,94565,Contra Costa County,07,(925) 427-9100,NON,false,false,true,2027-02-28,false,0,0,1.1,CO-ED,false,false,38.032445,-121.8854
070008HN,THE RECTORY WOMEN'S RECOVERY CENTER,UJIMA FAMILY RECOVERY SERVICES,1916 CHURCH LANE,,,SAN PABLO,CA,94806,Contra Costa County,07,(510) 236-3134,RES,false,true,true,2027-02-28,false,3,6,1.1,CO-ED,false,false,37.95743,-122.341408
070008LN,UJIMA CENTRAL OUTPATIENT PROGRAM (AKA UJIMA CENTRAL MOTHERS' PROGRAM),UJIMA FAMILY RECOVERY SERVICES,2975 TREAT BLVD,SUITE B-5,,CONCORD,CA,94518,Contra Costa County,07,(925) 691-5083,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.938046,-122.02642
070012BN,DISCOVERY HOUSE,CONTRA COSTA COUNTY HEALTH SERVICES DEPARTMENT,4645 PACHECO BOULEVARD,,,MARTINEZ,CA,94553,Contra Costa County,07,(925) 646-9270,RES,false,true,true,2027-10-31,false,40,40,1.2,MEN ONLY,false,false,38.003657,-122.084794
070024CN,REACH PROJECT,R.E.A.C.H. PROJECT,3385 MAIN STREET,SUITE B,,OAKLEY,CA,94561,Contra Costa County,07,(925) 754-3673,NON,false,false,true,2028-05-31,false,0,0,1.1,CO-ED,false,false,37.997738,-121.715356
070024EN,R.E.A.C.H. PROJECT,R.E.A.C.H. PROJECT,1915 D STREET,,,ANTIOCH,CA,94509-2571,Contra Costa County,07,(925) 754-3673,NON,false,false,true,2028-07-31,false,0,0,1.1,CO-ED,false,false,38.00385,-121.810002
070024FN,REACH PROJECT BRENTWOOD FACILITY,R.E.A.C.H. PROJECT,9100 BRENTWOOD BOULEVARD,,,BRENTWOOD,CA,94513,Contra Costa County,07,(925) 666-8460,NON,false,false,true,2026-10-31,false,0,0,1.1,CO-ED,false,false,37.919031,-121.684595
070034AP,"J. COLE RECOVERY HOMES, INC.","J. COLE RECOVERY HOMES, INC.",1408 A STREET,,18 WEST 15TH STREET,ANTIOCH,CA,94509,Contra Costa County,07,(925) 978-2873,RES,false,true,true,2028-03-31,false,22,23,1.2,MEN ONLY,false,false,38.007752,-121.806044
070046AP,DIABLO VALLEY DRUG AND ALCOHOL SERVICES,DIABLO VALLEY DRUG AND ALCOHOL SERVICES INC.,111 DEERWOOD ROAD,#235,,SAN RAMON,CA,94583,Contra Costa County,07,(925) 289-1430,NON,true,false,true,2027-06-30,false,0,0,1.1,CO-ED,false,false,37.774057,-121.988349
070046BP,MAGNOLIA RECOVERY,DIABLO VALLEY DRUG AND ALCOHOL SERVICES INC.,2059 MAGNOLIA WAY,,,WALNUT CREEK,CA,94595,Contra Costa County,07,(925) 289-1430,RES,true,true,false,2027-06-30,false,6,6,1.1,CO-ED,true,false,37.883291,-122.070554
070048AP,NEW START RECOVERY SOLUTIONS,SIERRA HEALTH AND WELLNESS CENTERS LLC,2449 PACHECO STREET,,2118 AND 2150 EAST STREET,CONCORD,CA,94520,Contra Costa County,07,(530) 854-4119,RES,true,true,true,2028-02-29,false,29,29,1.1,CO-ED,true,false,37.980192,-122.031574
070049AN,"WESTCARE CALIFORNIA, INC.","WESTCARE CALIFORNIA, INC.",208 23RD STREET,,,RICHMOND,CA,94804,Contra Costa County,07,(559) 251-4800,RES,true,true,true,2028-07-31,false,25,25,1.2,MEN ONLY,false,false,37.934459,-122.347528
070050AN,ELDA,ELDA,2334 BUCHANAN ROAD,#2356,,ANTIOCH,CA,94509,Contra Costa County,07,(925) 303-7310,NON,false,false,true,2027-03-31,false,0,0,1.1,CO-ED,false,false,37.998699,-121.839392
070051AP,ANTIOCH REHAB LLC,ANTIOCH REHAB LLC,3720 SUNSET LN.,SUITE B,,ANTIOCH,CA,94509,Contra Costa County,07,(714) 609-9300,NON,false,false,true,2027-10-31,false,0,0,1.1,CO-ED,false,false,37.984192,-121.804238
070052BN,STARLIGHT HOME,CALIFORNIA PORTSMOUTH SQUARE ASSOCIATION,686 HUMBOLDT STREET,,,RICHMOND,CA,94805,Contra Costa County,07,(510) 236-3388,RES,false,true,false,2028-05-31,false,15,20,1.14,WOMEN/CHILD/DUAL,false,false,37.941055,-122.323243
070054AN,DESTINY BEHAVIORAL HEALTH,DESTINY BEHAVIORAL HEALTH,2250 CAMINO RAMON,,,SAN RAMON,CA,94583,Contra Costa County,07,(925) 275-1600,NON,false,false,true,2027-11-30,false,0,0,1.1,CO-ED,false,false,37.777623,-121.967901
070056AN,EAST COUNTY CHILDRENS BEHAVIORAL HEALTH,CONTRA COSTA COUNTY,2335 COUNTRY HILLS DR,,,ANTIOCH,CA,94531,Contra Costa County,07,(925) 608-8700,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,37.970193,-121.78417
070056BN,WEST COUNTY ADULT MENTAL HEALTH,CONTRA COSTA COUNTY,13585 SAN PABLO AVENUE,2ND FLOOR,,SAN PABLO,CA,94806,Contra Costa County,07,(925) 431-2600,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.956464,-122.337156
070056CN,EAST COUNTY ADULT MENTAL HEALTH,CONTRA COSTA COUNTY,2311 LOVERIDGE RD,2ND FLOOR,,PITTSBURG,CA,94565,Contra Costa County,07,(925) 431-2600,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,38.007297,-121.871101
070056DN,CENTRAL COUNTY ADULT MENTAL HEALTH SERVICES,CONTRA COSTA COUNTY,1420 WILLOW PASS RD,2ND FLOOR,,CONCORD,CA,94520,Contra Costa County,07,(925) 646-5622,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,37.969668,-122.050531
070056EN,CENTRAL COUNTY CHILDREN'S MENTAL HEALTH SERVICES,CONTRA COSTA COUNTY,2425 BISSO LN,SUITE 200,,CONCORD,CA,94520,Contra Costa County,07,(925) 648-5468,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,37.984451,-122.046959
070056FN,WEST COUNTY CHILDRENS BEHAVIORAL HEALTH,CONTRA COSTA COUNTY,13585 SAN PABLO AVE,1ST FLOOR,,SAN PABLO,CA,94806,Contra Costa County,07,(510) 942-4700,NON,false,false,true,2026-12-31,false,0,0,1.10,CO-ED/YOUTH,false,false,37.956464,-122.337156
